, Tweet,TweetClean_NonPT,TweetClean_PT
3804,@IndosatCare min saya register 2 kali paket yellow harian. 2 kali gagal dan 2 kali pulsa saya dipotong. Bagaimana ini ? Dikit aja tp nyesek.pic.twitter.com/4HM2OW9Yy8,min register kali kali kali pulsa,min register kali kali kali pulsa
3805,"@IndosatCare Tanda Gua gak Mau, gua udah batalkan. Tugas lo balikin pulsa Gua Rp.2200 | Halo pak Menteri @rudiantara_id - @fahiraidris @zarazettirazr @fadlizon @Fahrihamzahpic.twitter.com/ES5IRfWaBl",tanda tugas halo menteri rudiantara,tanda tugas halo menteri rudiantara
3806,"Ini alasan kenapa saya meminta bill tagihan langsung dari cs indosat. Bagaimana saya mau melakukan kewajiban membayar sedangkan HAK saya sebagai pelanggan tidak terpenuhi, hanya untuk melihat bill tagihan saja tidak bisa...pic.twitter.com/UcDxvyrW16",bill laku hak langgan,bill laku hak langgan
3807,@IndosatCare benarkah ini min? Pantesan ane maket ul.jumbo dah lelet kemudian ganti yg kuota eh tetep lelet juga...tak kira jaringan lg error eh ternyata...wtfhttps://twitter.com/rifanhidayat12/status/1047806213683961856 …,min pantesan ganti kuota wtf,min pantesan ganti kuota wtf
3808,"Kak aku udah paketin paket SMS dan disitu tulisannya 100 SMS ke operator lain, trus aku SMS ke operator lain tapi kenapa pulsa nya masih kesedot ya?pic.twitter.com/l4r4s6Usst",kak paketin paket sms sms kah operator sms kah operator pulsa,kak paketin paket sms sms kah operator sms kah operator pulsa
3809,@IndosatCare min tilong dibantu sinyal lemot nih,min sinyal,min sinyal
3810,Nih setelah lapor diberhentiin sama Indosat kontennya tapi mereka ga bs janji utk konten yang motong seenaknya kedepan.  Masa harus lapor lagi klo ada kejadian serupa. Seharusnya ada perlindungan buat konsumen dr konten yg begini kak.pic.twitter.com/yH0J4sEvXE,lapor diberhentiin kontennya janji konten enak kedepan lapor rupa konsumen dokter,lapor diberhentiin kontennya janji konten enak kedepan lapor rupa konsumen dokter
3811,"@IndosatCare gan ini kemaren 7 okt ngisi vocer data, kok ada indikasi di unreg dari pihak indosatnya sendiri ya
Tolong dibantu, saya sebagai penjual merasa dirugikan ,saldo sudah hilang dan pembeli merasa rugi juga
Kode vocer : 27249757389225pic.twitter.com/deWr0zFZmE",gan kemaren okt ngisi vocer data indikasi unreg saldo kode,gan kemaren okt ngisi vocer data indikasi unreg saldo kode
3812,"@IndosatCare karna DM tidak dibalas sudah 10harian sy tulis disini saja ya. 

Saya daftar paket unlimited kuota, namun setelah dicek kenapa kuota dibatasi hanya 20gb ?pic.twitter.com/xPTEttqeGB",karna dm ya daftar kuota dicek kuota dibatasi,karna dm ya daftar kuota dicek kuota dibatasi
3813,"@IndosatCare selamat pagi ka, kok kuota utama saya 0 mb ya. Padahal masih ada pas saya cek myim3. Lalu kenapa ketika saya buka wa dan instagram itu kenanya kuota utama bukan kuota aplikasi? Terima kasihpic.twitter.com/9nCgPhb2zz",selamat pagi ka kuota mb ya cek wa instagram kenanya kuota kuota aplikasi,selamat pagi ka kuota mb ya cek wa instagram kenanya kuota kuota aplikasi
3814,"@IndosatCare adminmu tolong dididik lagi soal info produk yg bener. saya minta tolong buat unreg paket nelpon harian. udah ngasih info, ya saya ikutin. eh tp malah paket internetnya yg ilang. mana langsung nyedot pulsa 5700 lagi... #kecewapakeindosatpic.twitter.com/czXYrnGJMY",dididik info produk pulsa,dididik info produk pulsa
3815,"@IndosatCare halo? lagi gangguan kah Indosat dari kemarin?? kok lelet banget speed internetnya.. banyak yang keluh kesah juga dengan hal ini, mohon di stabilkan speed internetnya. thanks",halo kah kemarin kesah speed,halo kah kemarin kesah speed
3816,"@IndosatCare 
Jadi kemaren aku coba sms pake sim 1 bisa pas coba sim 2 (im3) gagal, aku cek pulsa tinggal 200an, trus pas aku isi 25rb aku coba lagi kok ga bisa yaa.. mohon mantuannyaa pic.twitter.com/zUPjAowyI6",kemaren sms sim sim gagal cek pulsa isi rb yaa mohon mantuannyaa,kemaren sms sim sim gagal cek pulsa isi rb yaa mohon mantuannyaa
3817,"@IndosatCare sinyal hilang, 4G lemot, tiap hari minggu pasti begini, gausah suruh ganti pilih jaringan manual, on/off, cabut pasang sim card, SEMUA UDAH DILAKUKAN #saveindosat #save4gpic.twitter.com/5DVEFAmoe6",sinyal lemot minggu ganti,sinyal lemot minggu ganti
3818,"@IndosatCare itu lucu sebenernya seminggu sampai hari habisnya paket sering gak ada sms notifnya, sekarang 23 hari sebelum perpanjangan ada sms notif-nya pic.twitter.com/qMJ98G2jtg",habisnya paket sms sms,habisnya paket sms sms
3819,@IndosatCare tolong buka blokir nomor saya 085791184800. FPL udh bayar td pagi sampe skrg msh ke softblock. Thanks,blokir nomor fpl pagi kah softblock,blokir nomor fpl pagi kah softblock
3820,@indosatcare nomor ku kok gabisa buat cek pulsa dkk yaa,nomor ku gabisa cek pulsa yaa,nomor ku gabisa cek pulsa yaa
3821,"@IndosatCare mohon maaf kenapa pulsa saya tiba tiba hilang, padahal belum sama sekali dipakai, kronologi nya jam 8 saya isi pulsa 10K, dan pulsa itu masuk, tapi ketika saya cek lagi jam 10 di *123# pulsa saya tetap 508, padahal tidak saya gunakan untuk apa apapic.twitter.com/Dy50GyTPMI",mohon maaf pulsa kali kronologi nya jam isi pulsa pulsa cek jam pulsa,mohon maaf pulsa kali kronologi nya jam isi pulsa pulsa cek jam pulsa
3822,"Udah di DM ya min. Jawabannya jangan karena masih proses (udah sebelan lebih), system error, blm ada yg mengerjakan dll yah min.
Yg masuk akal jawabannya :)",dm ya min proses sebelan system error kerja yah min,dm ya min proses sebelan system error kerja yah min
3823,"Ini sinyal kurleb 12 jam settingan manual, smpe skrg msh ilang2. Emg sih jd lbh srng 4g sinyl ny, tp ttp msh srng ilang2an jg sinyl data sel.ny, 5 nmr yg trdftr ats aku jg sma loh. Tolong yah.pic.twitter.com/ll5V80eE72",sinyal kurleb jam settingan manual smpe sih srng sinyl sinyl data sma loh,sinyal kurleb jam settingan manual smpe sih srng sinyl sinyl data sma loh
3824,"@IndosatCare min, nomer mentari gw yg upgrade ke pasca bayar, udah sebulan lebih blm bisa aktif. Kalau ga bisa dikerjakan lebih baik ga usah dilanjut. gw dah rela min
Biarlah nomer tsb pergi dgn kenangan masa silamnya.",min nomer mentari upgrade kah sebulan rela min biarlah nomer kenang,min nomer mentari upgrade kah sebulan rela min biarlah nomer kenang
3825,"@IndosatCare ini kenapa saya dapat kek gini lagi? Apa harus tiap ada orang yg sms saya harus seperti ini? Kalau bukan karena paket yellow gak akan sekalipun aku pake Indosat lagi, sudah sinyal kek tai juga.pic.twitter.com/AkSV48A9Dt",manusia sinyal,manusia sinyal
3826,"Ganti pulsa woi, dm respon dong",ganti pulsa woi dm respon,ganti pulsa woi dm respon
3827,"@IndosatCare Selalu dpt notif ini tiap bbrapa menit, pas mau di view malah blm tersedia. Annoying!!!!pic.twitter.com/doXPzRbzSq",menit,menit
3828,"@IndosatCare tolong cek area jakarta timur di area pulo gebang 

Paket data indosat benar2 tidak bisa di akses disini sudah lebih dari seminggu 

Dropped Pin
near RT.1/RW.12, Pulo Gebang, Cakung, East Jakarta City, Jakartahttps://maps.google.com/?q=-6.196643,106.950636 …",cek area jakarta timur area pulo gebang paket data akses pulo gebang cakung jakarta,cek area jakarta timur area pulo gebang paket data akses pulo gebang cakung jakarta
3829,"@IndosatCare dalam beberapa detik saja pulsa hilang karena pemakaian kuota internet, logis ya gua gak buka apa2 tiba-tiba tersedotnya sekian rupiah? woow emejing bgt indosat pic.twitter.com/IID5hYrp9B",detik pulsa kuota internet ya sedot kian rupiah,detik pulsa kuota internet ya sedot kian rupiah
3830,"@IndosatCare sya mau keluhin pulsa sy yg tbtb habis aja
Sy pke cuma pket yellow 2000/1hari
Lngganan Yg seharuznya plsa sy mash ad 20rb 
Knp tbtb udh 0 rp aja..Pdha kuota yellow sya msh ad. Brrti gk mngkn plsa sy ke tarik pas internet http://aktf.tp  knp plsa sy tbtb hilng",keluhin pulsa habis lngganan seharuznya plsa pdha kuota mngkn plsa kah tarik internet plsa,keluhin pulsa habis lngganan seharuznya plsa pdha kuota mngkn plsa kah tarik internet plsa
3831,"@IndosatCare hallo admin, boleh dibantu? Udah 20 menit ga ada signal Indosat. Udah direstart, udah coba lepas SIM card lalu pasang lagi, tapi tetep kayak gini. Terima kasihpic.twitter.com/vIEjLMYAFm",hallo admin menit sim card pasang,hallo admin menit sim card pasang
3832,"@IndosatCare @INDOSAT_M3 Katanya, dapet bonus 1 GB, kok gak ada? Udah beberapa bulan terakhir dimalingin terus.pic.twitter.com/jT0si8Yh31",,
3833,"@IndosatCare selamat malam, mohon informasinya untuk jaringan indosat di wilayah tigaraksa, tangerang apakah sedang mengalami gangguan?pic.twitter.com/iiLUYEYbKP",selamat malam mohon wilayah tangerang alam,selamat malam mohon wilayah tangerang alam
3834,"@IndosatCare lagi2 pencurian pulsa berkedok sms pulsa. Tolonglah dibenerin sistemnya. Baru juga isi pulsa langsung kesedot. Tau gitu gak isi pulsa sekalian. 

@IndosatCare @IndosatCare @IndosatCarepic.twitter.com/uOt3pN7q8Z",pulsa kedok sms pulsa tolonglah dibenerin sistemnya isi pulsa isi pulsa kali,pulsa kedok sms pulsa tolonglah dibenerin sistemnya isi pulsa isi pulsa kali
3835,@IndosatCare indosat kamprettt hape ga bsa tlp sama sms... tagihan sdh saya byr semuaa!! aneh kartu ini.. sdh komplen di 185 dan gerai indosat tp hasil nya nihil.. sangat merugikannnpic.twitter.com/cc8zYi6K9T,byr semuaa kartu komplen hasil nya,byr semuaa kartu komplen hasil nya
3836,@IndosatCare pake indosat byakn mkn hati dri pada bagusnya mw dibuang udh jd kartu pribadi. 1:5 sama oprator odong2,byakn dibuang kartu pribadi oprator,byakn dibuang kartu pribadi oprator
3837,"@IndosatCare
 maaf pembelian paket im3 sedang ganguan ya ?? Paket tdak bisa d beli tp pulsa berkurangpic.twitter.com/EFTRGStztp",maaf paket ganguan ya paket pulsa,maaf paket ganguan ya paket pulsa
3838,"@IndosatCare sy pengguna im3 prabayar sejak2007. Sejak 18sep - 4okt 2018, Sangat terganggu sekali dengan sms seperti itu sehari 2x dr nomor berbeda walaupun sudah tau itu spam dan sy block. Sy mau tanya apa yg bisa provider bantu atas hal tsb? Tks.pic.twitter.com/DsY5qDA10H",prabayar kali sms dokter nomor spam,prabayar kali sms dokter nomor spam
3839,"@IndosatCare halo ka ini knpaaa perpanjangan paket ko tidak bisa ya?
Data seluler sudah mati & jaringan diturunkan menjadi 2G knpa masih tetap tdk bisa memperpanjang paket 1GB?
Mohon bantuannya",halo ka knpaa paket ko ya data seluler jaring,halo ka knpaa paket ko ya data seluler jaring
3840,"@IndosatCare selamat sore. Saya mau bertanya, kenapa saya mau beli paket internet malah jawaban seperti ini? Tolong jawbnnya dan bantuannya. Dan semoga sistemnya di perbaiki, biar kami nyaman. Terimakasihpic.twitter.com/M7pNnLewmy",selamat sore paket internet moga nyaman,selamat sore paket internet moga nyaman
3841,@IndosatCare kira kira judul sinetron apa ya yang cocok buat azab provider yang suka nyolong pulsa?,judul pulsa,judul pulsa
3842,@IndosatCare ini ada apa ya. Pulsa saya dari 59.606 jadi cuma 15.494.. apa2an ini? Saya tidak pakai aneh2 bisa turun segini banyak -_- apa ada sms penyedot pulsa??pic.twitter.com/QxfO0D9ot5,ya pulsa pakai segini,ya pulsa pakai segini
3843,"@IndosatCare min, saya isi kuota 10Gb harusnya rollover sama yg sebelumnya masih ada 8gb. Tapi masa tenggang nya ga ngikut rollover, baru 2hari jadi expired. pulsanya juga sampe kepotong banyak. Gimana ya?pic.twitter.com/JA8NQKIHhi",min isi kuota expired,min isi kuota expired
3844,"@IndosatCare inituh maksudnya apa ya? masi ada 27hari lagi tapi ternyata udah gabisa internet an sama sekali, pas kemarin pas ngecek kuota ga kaya begitu kok.pic.twitter.com/prmsQPuG2e",masi nyata gabisa internet an kali kemarin ngecek kuota,masi nyata gabisa internet an kali kemarin ngecek kuota
3845,"@IndosatCare udah kjdian yg berulang kali min, isi pulsa, data udah dimatiin, plsa lsg hbs kena paket data. Gimna min?",kjdian kali min isi pulsa data dimatiin plsa lsg paket data gimna min,kjdian kali min isi pulsa data dimatiin plsa lsg paket data gimna min
3846,"@IndosatCare saya beberapa bingung.  Pagi ini dikatakan saya tarif internet per-KB padahal akhir bulan lalu dibilang paket internet saya diperpanjang.  Akhirnya saya daftar,  disuruh konfirmasi,  tapi kemudian dikatakan tak ada yang perlu dikonfirmasi.pic.twitter.com/9e6tp3DUop",pagi tarif internet kb dibilang paket internet diperpanjang daftar disuruh konfirmasi,pagi tarif internet kb dibilang paket internet diperpanjang daftar disuruh konfirmasi
3847,"@IndosatCare @IndosatCare
Ini kenapa maketin kok gak bisa setiap di bls OK jawaban dari indosatnya 'Tidak ada yang perlu dikonfirmasi' udah berkali kali nyoba ttp aja blsnya begitu gabisa dipaketin aneh bgt udh sampe 15x TETEP GABISA! Udh di 2g/3g sinyal ttp gabisa elahpic.twitter.com/oyOrZnBJK0",maketin bls ok nyoba blsnya gabisa dipaketin banget gabisa sinyal gabisa,maketin bls ok nyoba blsnya gabisa dipaketin banget gabisa sinyal gabisa
3848,"@IndosatCare 
MIN MAU NANYA DONG,  
1.FUP/BATAS PEMAKAIAN WAJAR untuk paket internet unlimited +5gb 60k , per harinya brp ya?
2.BATAS PEMAKAIAN WAJAR untuk keseluruhannya berapa? 
3.setelah mencapai BATAS PEMAKAIAN WAJAR kecepatan internet turun jadi brp? 
MOHON DITANGGAPI DONG",min batas pakai pakai batas pakai internet mohon,min batas pakai pakai batas pakai internet mohon
3849,"@IndosatCare kenapa terus2an membuat saya kecewa! Tiba2 saya mendapat sms konten berlangganan Nadaku dari 808 dan itu membuat pulsa saya terkuras!
KEMBALIKAN PULSA SAYA dan BERHENTIKAN NOMOR SAYA DARI KONTEN yang TIDAK JELAS DAN TIDAK PENTING!!",kecewa sms konten langgan nadaku pulsa kuras pulsa henti nomor,kecewa sms konten langgan nadaku pulsa kuras pulsa henti nomor
3850,@IndosatCare haloooo.. Kenapa yaa indosat signal nya hilang timbul terus. Capek kalo lagi oenting tersendat2 bikin emosi huhu,haloo yaa capek oenting emosi,haloo yaa capek oenting emosi
3851,"@IndosatCare min, kalo promo gini biasanya ada masa berlaku nya ga? Misalnya cuma berlaku utk 2 kali perpanjangan, ato unlimited bisa diperpanjang terus?pic.twitter.com/H4DzvmTL2U",min promo nya laku kali,min promo nya laku kali
3852,Pulsa saya kepotong padahal udah dipaketin yellow tolong di bantu,pulsa dipaketin,pulsa dipaketin
3853,"@IndosatCare ini kenapa beli paketan ga bisa? Yang unlimited 3gb 50ribuan. Padahal pulsa ada 50k ps. Lewat manual dr *123# juga ga bisa.

Pektan off, sinyal di 3G jugaaaa hmmmmmpic.twitter.com/wHIyaegOjW",paketan pulsa ps manual dokter pektan off sinyal jugaa,paketan pulsa ps manual dokter pektan off sinyal jugaa
3854,"@IndosatCare mohon dibantu cek min, daerah skitar Jl. Warung Jati Barat, RT.3/RW.11, Jati Padang, Ps. Minggu, Jaksel atau skitaran halte Transjakarta Jati Padang -- sinyal full 4G plus tp koneksi internet tidak bs digunakan..kjdian sdh lama, lokasi map:https://goo.gl/maps/SzZPYKiGRGD2 …",cek min daerah jl warung barat padang ps minggu jaksel skitaran padang sinyal full koneksi internet kjdian lokasi,cek min daerah jl warung barat padang ps minggu jaksel skitaran padang sinyal full koneksi internet kjdian lokasi
3855,"@IndosatCare nomor m3 saya gabisa daftar paketan dr *123# maupun apps nya, saya tlp CS malah pulsa tdk mencukupi pdahal pulsa saya 100 lebih. Tolong dibantu. Saya tidak bisa internetan, hp iphone make m3 udh kaya make hape jadul jd gabisa internetan.pic.twitter.com/tW2HlsMLeB",nomor gabisa daftar paketan dokter nya tlp cs pulsa pdahal pulsa internetan kaya,nomor gabisa daftar paketan dokter nya tlp cs pulsa pdahal pulsa internetan kaya
3856,"@IndosatCare perhatiin SINYALnya dari 4G ke H sampe tiba2 hilang dan tiba2 muncul lagi. Ganggu bgt udah seminggu lebih kayak gini. Udh pernah ngeluh, ditanya nomor hp tapi gak ditanggapin lagi. Mau kirim tweet ini aja harus ulang berkali2 krn sinyal main2pic.twitter.com/RkISrps6zX",perhatiin banget seminggu nomor sinyal,perhatiin banget seminggu nomor sinyal
3857,@IndosatCare Saya ingin komplain thd pemotongan pulsa Yellow yg double dlm satu hari ini. No HP  085779125752 paket internet Yellow dipotong pd tgl 2 Okt 2018 pkl. 10.33 Wib. Pulsa Rp 9.400 berkurang jadi Rp 8.400. Lalu pd pkl. 18.08 Wib dipotong lagi. Apakah memang sprt ini?pic.twitter.com/DUiWdmarkt,hadap pulsa wib pulsa rp wib,hadap pulsa wib pulsa rp wib
3858,"@IndosatCare min tolong sudah beberapa hari ga ditanggapi, internat saya lemot!!! padahal baru isi quota dan di jaringan 4G.",min internat isi quota,min internat isi quota
3859,"@IndosatCare DM ditanggapi dan ditindak lanjuti, jangan cuma sekedar pencitraan saja dalam menanggapi keluhan pelanggan.",dm sekedar pencitraan langgan,dm sekedar pencitraan langgan
3860,"@IndosatCare :  balasan email dr cc  masih blm memuaskan.. Intinya susah untuk top up kuota internet indosat dan pulsa saya sudah terpotong atas pembelian pulsa internet utk topup, padahal sisa kuota utama saya berdasarkan aplikasi msh 9 mega,",email dokter cc kuota internet pulsa pulsa internet topup sisa kuota dasar aplikasi mega,email dokter cc kuota internet pulsa pulsa internet topup sisa kuota dasar aplikasi mega
3861,@IndosatCare ini saya ga pernah langganan layanan ini tapi kenapa tiba2 langganan ya? lalu saya mau unreg gabisa. pantes pulsa saya habis teruspic.twitter.com/EhhTKjwqyX,langgan layan langgan ya unreg gabisa pantes pulsa,langgan layan langgan ya unreg gabisa pantes pulsa
3862,"@IndosatCare menyesal dan rugi pk indosat pasca byr,limit masih banyak kartu ga ke blokir.giliran mw tlp ke luar sama sms keluar ga bisa? semalem sdh d komplen d gerai indosat. cm sbntr bnrnya bsk nya error lg.. ajaib gila nya indosat!pic.twitter.com/9QiW2hWIf7",sesal pk byr limit kartu kah blokir.giliran komplen bnrnya besok nya error ajaib,sesal pk byr limit kartu kah blokir.giliran komplen bnrnya besok nya error ajaib
3863,"@IndosatCare Dear Indosat, saya tidak melakukan apapun, tidak mendaftar program ini, kenapa saya menerima notifikasi seperti ini dan pulsa saya terpotong seketika?pic.twitter.com/deCuAWQQxz",laku daftar program notifikasi pulsa,laku daftar program notifikasi pulsa
3864,"@IndosatCare senin malam saya unreg paket, trus dinyatakan gak ada paket yang aktif. Tapi kenapa hari ini selasa paket saya diperpanjang?pic.twitter.com/iBpIUsxRtS",senin malam unreg paket paket selasa paket,senin malam unreg paket paket selasa paket
3865,oh bagus ini maksudnya apa ya? aku gapencet apa-apa tp tiba2 berlangganan & narik pulsaku. indosat ini skrg gimana sih? mau setia pake indosat tp jarang direspon jg pic.twitter.com/BXO73Uz8OY,oh gapencet langgan narik pulsaku sih jarang direspon,oh gapencet langgan narik pulsaku sih jarang direspon
3866,"@IndosatCare Ini kemana pergi kuota utama 19gb ma kuota malam,telpon dan smsnya baru juga kepake bonus kuota 4g yg 5gb trus semua kuota tiba"" ilang gak jelas, sumpah sya kecewa biasanya juga kagak.pic.twitter.com/FWlSPt7FNP",kuota gb kuota malam telpon smsnya kepake kuota gb kuota ilang sumpah kecewa,kuota gb kuota malam telpon smsnya kepake kuota gb kuota ilang sumpah kecewa
3867,"@IndosatCare halo ini knapa ya saya mau isi paketan freedom internet yg 100 gabisa, sedangkan pulsa saga cukup. Mau tlp cs jg gabisa krn pulsa tdk mencukupi. Pdahal pulsa saya masih 119rb-an.pic.twitter.com/vHmwTkuM5n",halo ya isi paketan freedom internet gabisa pulsa saga tlp cs gabisa pulsa pdahal pulsa,halo ya isi paketan freedom internet gabisa pulsa saga tlp cs gabisa pulsa pdahal pulsa
3868,"@IndosatCare selamat malam, min. Ini sinyalku 4g+ tapi kok lemot banget yaaaaaa... Muter - muter terus untuk yuotube, instagram, twitter dll. Lokasi rawamamgun, Jakarta.pic.twitter.com/w6XZl2iBWR",selamat malam min sinyalku banget yaa lokasi,selamat malam min sinyalku banget yaa lokasi
3869,@IndosatCare paket internet Yellow saya kok tidak perpanjang otomatis ya? Tolong dibantu. Saya sudah kirim DM.,perpanjang ya dm,perpanjang ya dm
3870,@IndosatCare Tolong dong ini padahal sinyalnya 3 - 4 batang 4G tapi bales chat WA aja lamanya udah kayak upload video di YouTube durasi 10 jam! ,bales wa durasi jam,bales wa durasi jam
3871,"Saya beli voucer paket 3 GB kuota malam 4*GB kuota aplikas, 18 GB kuota malam & saya pake kok malah muncul sms anda sedang berlangganan kuota 2 GB, kemudian saya berhenti http://berlangganan.Tp  kok kuota paket saya yg baru dibeli dan dipake ikut hilang, gimana apa bs dibalikin",kuota malam gb kuota aplikas gb kuota malam sms langgan kuota gb henti kuota paket,kuota malam gb kuota aplikas gb kuota malam sms langgan kuota gb henti kuota paket
3872,@IndosatCare Paket Unlimited Jumbo nya ternyata sekarang Tidak Unlimited lagi ya sekarang Dibatasi jadi 20GB? dan sekarang suka keluar Pop Up dan SMS untuk Beralih ke Unlimited Jumbo padahal saya pake Unlimited Jumbo?pic.twitter.com/0wpDWumZZk,nya ya dibatasi gb,nya ya dibatasi gb
3873,@IndosatCare Baru kmrn isi pulsa 25rb masak hari ni tiba2 pulsa tgal17300 pdhal dr kmrn g dipakai buat apa2.Gmn nih?pic.twitter.com/vf5nATwh3w,kemarin isi pulsa rb pulsa dokter kemarin,kemarin isi pulsa rb pulsa dokter kemarin
3874,"@IndosatCare hae kak, barusan aktifin paket Seminggu 1GB Rp 5000 (D2 929) tapi paket Yellow 3hr masih aktif, apakah paket yellownya besok perpanjang sendiri? Misal iya cara unreg Yellow Langganannya bagaimana ya? Thankspic.twitter.com/0dX10oea1u",kak barusan paket yellownya besok perpanjang iya langgan ya,kak barusan paket yellownya besok perpanjang iya langgan ya
3875,"@IndosatCare dari td sinyalnya 4g atau h+ terus, apakah freedom jnternet memiliki FUP? Soalnya koneksi saya tbtb hanya 60kbps terus menerus, mohon direspon indosatpic.twitter.com/vkXvPLQ7UO",freedom jnternet milik fup koneksi,freedom jnternet milik fup koneksi
3876,@IndosatCare semalam saya beli paket internet 10GB lewat FLIP. Sampe skrg paketnya ga masuk2 padahal sudah berhasil. mohon bantu. saya lampirkan bukti transaksipic.twitter.com/YOM8durBXq,malam paket internet gb hasil mohon bukti,malam paket internet gb hasil mohon bukti
3877,@IndosatCare Selamat siang. Kenapa paket internet saya belum diperbarui sampai sekarang.  Seharusnya paket internet saya sudah diperbarui jam 10 tadi. Tetapi sampai sekarang paket yellow 1000 perpanjang otomatis belum diperbarui. Ini nomer saya 085647237570,selamat siang paket internet paket internet jam perpanjang nomer,selamat siang paket internet paket internet jam perpanjang nomer
3878,@IndosatCare Min mau Tanya Kalo simcard yg kuningannya Di potong buat jadislot mini sd bisa Gak yapic.twitter.com/DZSYSkVC4j,min jadislot mini,min jadislot mini
3879,@IndosatCare  cacat pelanggan komplain ga pernah di tanggapi,langgan,langgan
3880,"@IndosatCare min, kuota aku masih banyak, tp semalem tiba2 ga bisa digunakan. Trus pas td pagi dicek, malah begini :(pic.twitter.com/52ixFuBylT",min kuota semalem pagi dicek,min kuota semalem pagi dicek
3881,"@IndosatCare min, kartu Indosat yg udah lewat masa tenggang/hangus bisa diaktifin lagi ga di Galeri Indosat?",min kartu tenggang hangus diaktifin galeri,min kartu tenggang hangus diaktifin galeri
3882,"jawabannya di DM kurang jelas,pertanyaan berikutnya tidak lgs ditanggapi.ada solusi lain?",dm lgs solusi,dm lgs solusi
3883,@IndosatCare ini knpa sinyal indosat bbrp hari ini di daerah utan kayu jelekk banget ya?  Naik turun dan sering off.,sinyal daerah utan kayu jelekk banget ya,sinyal daerah utan kayu jelekk banget ya
3884,"@IndosatCare koneksi internet saya kenapa mati ya? padahal tagihan bulanan oktober sudah saya bayar, mohon penjelasannya terimakasih",koneksi internet ya oktober mohon,koneksi internet ya oktober mohon
3885,"@IndosatCare Pagi, saya berlangganan paket Unlimited Jumbo, tapi kok saat saya cek MyIM3, ada  kuota 27GB tersisa 21GB ya? Bukannya Jumbo itu bebas kuota?pic.twitter.com/0jWxNMEPqe",pagi langgan cek kuota gb sisa gb ya jumbo,pagi langgan cek kuota gb sisa gb ya jumbo
3886,"@IndosatCare sudah bayar tagihan pasca bayar, tp tagihan masih tetep ada ? Gimana ini ?",tagih,tagih
3887,"@IndosatCare kapan saya reg nya tau tau ada sms untuk stop reg , abis 5000 pulsa aku menyesal kemarin isi pulsapic.twitter.com/4nFHE2CseE",reg nya sms henti reg pulsa sesal kemarin isi,reg nya sms henti reg pulsa sesal kemarin isi
3888,@IndosatCare keluhan saya belum di respon sejak seminggu yang lalu. Please cek dm. Ini kartu Indosat saya TIDAK ADA SINYAL SEJAK 1 MINGGU YANG LALU. Thanks,respon cek dm kartu sinyal minggu,respon cek dm kartu sinyal minggu
3889,"@IndosatCare halo, kalau tiba"" sinyalnya ilang kenapa ya? bahkan sim ga detect sama sekali di ponsel. apa kartu tsb terblokir?",halo ya sim detect kali ponsel kartu,halo ya sim detect kali ponsel kartu
3890,"@IndosatCare min, aku kmrn baru beli kartu kuota yg 9gb + 14gb. terus pas dicek kuotanya malah ""kamu belum terdaftar di paket internet...."" pdhl baru kmrn beli (3)",min kemarin kartu kuota gb gb dicek kuotanya daftar paket internet kemarin,min kemarin kartu kuota gb gb dicek kuotanya daftar paket internet kemarin
3891,"@IndosatCare ini kenapa paketan saya tiba tiba berhenti? Padahal saya ga ngapa ngapain, baru aja ngisi paket tanggal 19 septemberpic.twitter.com/XGUXHLwrne",paketan henti ngisi paket tanggal,paketan henti ngisi paket tanggal
3892,"Saya aktif paket internet yellow 1 hari dan langganan. Kemari siang sisa pulsa saya 12rb. Paket yellow sy aktif sampai jam 18.30, ttp kemarin jam 19.30 ternyata ga perpanjang otomatis jadi pulsa saga kepotong. Gmn ini? Tks",langgan kemari siang sisa pulsa jam kemarin jam nyata perpanjang pulsa saga bagamana tks,langgan kemari siang sisa pulsa jam kemarin jam nyata perpanjang pulsa saga bagamana tks
3893,"Saya sudah ke DM, tapi tidak berbalas juga ",dm,dm
3894,"@IndosatCare lah coba ini apa sat  abis di usage 10 menit yg lalu tiba tiba pulsa saya ilang banyak,  kalo gini caranya abis terus pulsa sayapic.twitter.com/ND7aKrREh5",sat habis menit pulsa ilang pulsa,sat habis menit pulsa ilang pulsa
3895,"@IndosatCare pulsa saya tersedot tiba2 berkurang sendiri, padahal saya tidak pernah registrasi apapun",pulsa sedot registrasi,pulsa sedot registrasi
3896,"@IndosatCare hi indosat, kenapa saya tidak mendapatkan pin verifikasi ketika upgrade spotify saya ke premium dengan metode pemotongan pulsa?",pin verifikasi kah premium metode pulsa,pin verifikasi kah premium metode pulsa
3897,"@IndosatCare min dari kemaren siang sampai sekarang Indosat gak bisa internetan, harus berapa lama lagi saya nunggu? Apa Indosat lagi buy-back Jokowi @jokowi ???",min kemaren siang internetan jokowi jokowi,min kemaren siang internetan jokowi jokowi
3898,@IndosatCare pagi admin. Maaf kmrin nomor sya smpat hangus dn teman sya mnanyakan di akun ini @indosatCare apkah bisa diaktifkan lagi atau tidak dan jawabannya adalah tidak tpi ketika saya dtang ke gerai Lngsung ternyata bisa :),pagi admin maaf kmrin nomor smpat hangus teman akun apkah dtang kah lngsung,pagi admin maaf kmrin nomor smpat hangus teman akun apkah dtang kah lngsung
